Tipo variazione;Istat vecchio;Denominazione Comune;Istat nuovo;Denominazione Comune associata alla variazione o nuova denominazione
CE;025044;Rocca Pietore;022039;Canazei
AQ;022039;Canazei;025044;Rocca Pietore
CE ;010043;Pieve Ligure;010060;Sori
AQ;010060;Sori;010043;Pieve Ligure
CE ;014005;Ardenno;014029;Forcola
AQ;014005;Ardenno;014029;Forcola
CE ;014029;Forcola;014005;Ardenno
AQ;014029;Forcola;014005;Ardenno
CE ;022036;Campitello di Fassa;022039;Canazei
AQ;022039;Canazei;022036;Campitello di Fassa
AQ;022050;Cavalese;022196;Tesero
CE ;022050;Cavalese;022196;Tesero
CE ;022196;Tesero;022050;Cavalese
AQ;022196;Tesero;022050;Cavalese
CE ;027042;Venezia;027044;Cavallino-Treporti
CS;027044;Cavallino-Treporti;027042;Venezia
AQ;027044;Cavallino-Treporti;027042;Venezia
CD;071049;Sannicandro Garganico;071049;San Nicandro Garganico
CD;081003;Calatafimi;081003;Calatafimi-Segesta
ES;096036;Mosso Santa Maria;096084;Mosso
ES;096045;Pistolesa;096084;Mosso
AQ;096084;Mosso;096045;Pistolesa
AQ;096084;Mosso;096036;Mosso Santa Maria
CS;096084;Mosso;096045;Pistolesa
CS;096084;Mosso;096036;Mosso Santa Maria
AQ;101002;Caccuri;101006;Cerenzia
CE ;101002;Caccuri;101006;Cerenzia
CE ;101006;Cerenzia;101002;Caccuri
AQ;101006;Cerenzia;101002;Caccuri
AQ;001109;Front;001218;Rivarossa
CE ;001218;Rivarossa;001109;Front
AQ;017046;Cazzago San Martino;017166;Rovato
CE ;017166;Rovato;017046;Cazzago San Martino
CE;023012;Bovolone;023055;Oppeano
CE;023012;Bovolone;023040;Isola della Scala
AQ;023040;Isola della Scala;023012;Bovolone
AQ;023055;Oppeano;023012;Bovolone
CE ;073023;Roccaforzata;073027;Taranto
AQ;073023;Roccaforzata;073027;Taranto
CE ;073027;Taranto;073023;Roccaforzata
AQ;073027;Taranto;073023;Roccaforzata
CE ;015027;Bollate;015250;Baranzate
CS;015250;Baranzate;015027;Bollate
AQ;015250;Baranzate;015027;Bollate
CE ;058047;Guidonia Montecelio;058122;Fonte Nuova
CE ;058059;Mentana;058122;Fonte Nuova
CS;058122;Fonte Nuova;058047;Guidonia Montecelio
CS;058122;Fonte Nuova;058059;Mentana
AQ;058122;Fonte Nuova;058047;Guidonia Montecelio
AQ;058122;Fonte Nuova;058059;Mentana
AQ;015010;Arluno;015204;Sedriano
